event_type,tau,mean_AR,mean_CAR,n
negative,-5,0.004780632974280296,0.004780632974280296,7
negative,-4,-0.002324006881784954,0.002456626092495342,7
negative,-3,-0.026976404948624796,-0.024519778856129455,7
negative,-2,-0.022574802212356835,-0.04709458106848628,7
negative,-1,-0.0037991849778647407,-0.050893766046351034,7
negative,0,-0.04723608667081246,-0.09812985271716348,7
negative,1,0.0218405188699724,-0.07628933384719108,7
negative,2,0.023725276234740626,-0.05256405761245046,7
negative,3,0.002043279110038766,-0.0505207785024117,7
negative,4,0.002095899694178696,-0.04842487880823299,7
negative,5,0.003891682913650081,-0.04453319589458292,7
positive,-5,0.003318874958382949,0.003318874958382949,8
positive,-4,-0.02248683567584657,-0.01916796071746362,8
positive,-3,0.035051559791063884,0.015883599073600263,8
positive,-2,0.01867739345191026,0.03456099252551052,8
positive,-1,0.002031250807502571,0.03659224333301309,8
positive,0,0.023042268175514753,0.059634511508527846,8
positive,1,0.028133498234762196,0.08776800974329005,8
positive,2,-0.028299856345008954,0.0594681533982811,8
positive,3,0.04540311427282322,0.10487126767110432,8
positive,4,0.007686908606049755,0.11255817627715407,8
positive,5,-0.024520717138591358,0.08803745913856272,8
